County,New Positives,All Positives,New Tests,All Tests
Albany,40,5148,1827,241067
Allegany,10,856,274,38288
Bronx,337,61316,9809,1216398
Broome,68,4927,1555,212361
Cattaraugus,24,901,423,56965
Cayuga,31,735,1032,65809
Chautauqua,11,1403,400,101808
Chemung,55,2702,1215,87638
Chenango,15,578,360,43228
Clinton,10,428,566,60624
Columbia,3,965,379,51298
Cortland,23,907,386,58076
Delaware,5,314,384,35247
Dutchess,94,6728,2778,271254
Erie,497,21572,8160,716159
Essex,2,250,416,28109
Franklin,8,239,362,36439
Fulton,22,454,581,36762
Genesee,42,800,584,48464
Greene,7,633,387,31842
Hamilton,2,39,24,3485
Herkimer,7,582,439,56899
Jefferson,17,435,467,55284
Kings,499,85108,18796,2207655
Lewis,6,306,272,17397
Livingston,34,617,1471,52025
Madison,24,821,842,59561
Monroe,365,12771,9922,673674
Montgomery,18,396,829,39895
Nassau,421,57127,13559,1329635
New York,310,42664,21630,1854540
Niagara,61,3213,1615,156653
Oneida,129,4210,5470,285118
Onondaga,202,9362,5492,465438
Ontario,42,1129,1719,86350
Orange,115,15987,2956,280306
Orleans,15,576,385,24836
Oswego,86,1273,2332,87322
Otsego,21,529,686,47386
Putnam,110,2472,1647,76731
Queens,469,86246,15986,1907268
Rensselaer,13,1528,2095,140466
Richmond,167,21213,4009,476612
Rockland,106,20708,3197,313797
Saratoga,65,1969,2399,176065
Schenectady,63,2136,2009,143548
Schoharie,7,176,200,20525
Schuyler,9,271,271,16781
Seneca,10,253,437,24614
St. Lawrence,11,678,1115,112381
Steuben,42,1599,1807,71786
Suffolk,526,56865,13623,1343085
Sullivan,15,2093,452,46986
Tioga,19,1043,467,39125
Tompkins,32,936,7621,665093
Ulster,50,3073,2193,150338
Warren,1,543,352,48183
Washington,8,430,472,43995
Wayne,55,967,1295,71551
Westchester,421,47262,8343,1031624
Wyoming,18,419,422,30377
Yates,11,239,293,15614
